Month, Year, Temp, Precip, Grain Height, Number of Deer, Number of Mice
0, 2020, 30.690914, 9.750994, 18.141462, 3, 8
1, 2020, 52.550041, 9.670324, 17.822767, 4, 10
2, 2020, 60.092468, 13.333856, 14.312278, 5, 12
3, 2020, 63.733482, 14.794628, 9.746401, 6, 14
4, 2020, 77.584793, 10.579899, 4.246409, 7, 16
5, 2020, 74.338455, 8.788975, 0.000000, 6, 18
6, 2020, 74.188812, 4.788744, 0.000000, 5, 16
7, 2020, 75.018158, 1.868719, 0.000000, 4, 14
8, 2020, 70.883369, 0.604122, 0.000000, 3, 12
9, 2020, 49.999397, 3.061567, 0.000000, 2, 10
10, 2020, 53.038624, 1.362334, 0.000000, 1, 8
11, 2020, 47.127174, 4.466367, 4.116045, 0, 6
0, 2021, 49.931995, 10.346066, 8.285487, 1, 8
1, 2021, 43.144062, 13.156790, 16.924961, 2, 10
2, 2021, 63.401287, 14.234959, 14.866938, 3, 12
3, 2021, 73.424942, 14.247616, 11.867079, 4, 14
4, 2021, 75.050766, 13.135667, 7.967130, 5, 16
5, 2021, 70.504944, 6.867329, 3.168119, 6, 18
6, 2021, 87.196671, 5.483625, 0.000000, 5, 20
7, 2021, 76.126274, 1.300043, 0.000000, 4, 18
8, 2021, 73.243782, 1.482207, 0.000000, 3, 16
9, 2021, 57.407295, 1.679447, 0.000000, 2, 14
10, 2021, 48.457901, 4.690664, 2.126704, 1, 12
11, 2021, 43.109154, 4.518352, 8.793477, 2, 14
0, 2022, 45.645096, 9.544789, 15.200791, 3, 16
1, 2022, 55.175987, 12.842076, 13.107099, 4, 18
2, 2022, 60.095207, 13.039192, 9.199989, 5, 20
3, 2022, 64.769890, 13.509896, 4.222955, 6, 22
4, 2022, 73.058548, 13.030036, 0.000000, 5, 24
5, 2022, 77.001060, 7.456408, 0.000000, 4, 22
6, 2022, 88.893921, 5.368520, 0.000000, 3, 20
7, 2022, 69.186951, 1.057359, 0.000000, 2, 18
8, 2022, 61.764706, 1.587338, 0.000000, 1, 16
9, 2022, 53.360390, 3.088459, 0.000000, 0, 14
10, 2022, 42.555130, 2.761324, 5.956778, 0, 12
11, 2022, 38.758076, 5.498350, 15.005587, 1, 14
0, 2023, 30.888683, 9.257860, 18.708601, 2, 16
1, 2023, 49.573044, 11.802988, 20.954418, 3, 18
2, 2023, 56.332520, 12.668402, 18.430260, 4, 20
3, 2023, 67.240776, 12.638755, 14.236962, 5, 22
4, 2023, 78.018089, 10.378082, 9.136969, 6, 24
5, 2023, 81.479233, 10.272640, 3.136968, 7, 26
6, 2023, 78.157417, 6.930870, 0.000000, 6, 28
7, 2023, 74.760086, 4.203670, 0.000000, 5, 26
8, 2023, 64.922150, 0.000000, 0.000000, 4, 24
9, 2023, 51.048569, 2.382686, 0.000000, 3, 22
10, 2023, 55.620770, 2.390779, 0.000000, 2, 20
11, 2023, 44.552986, 4.228746, 4.390388, 1, 18
0, 2024, 44.987785, 8.238860, 11.761642, 2, 20
1, 2024, 43.757633, 11.270797, 19.414528, 3, 22
2, 2024, 62.590500, 13.004155, 15.981155, 4, 24
3, 2024, 59.930874, 12.961799, 11.788118, 5, 26
4, 2024, 68.798553, 12.375322, 6.490955, 6, 28
5, 2024, 84.396866, 9.428385, 0.290955, 7, 30
6, 2024, 84.404892, 3.871001, 0.000000, 6, 28
7, 2024, 79.326332, 3.329378, 0.000000, 5, 26
8, 2024, 69.892815, 1.052110, 0.000000, 4, 24
9, 2024, 52.639786, 1.313138, 0.000000, 3, 22
10, 2024, 44.766678, 3.847871, 3.048314, 2, 20
11, 2024, 33.076591, 7.302725, 7.357265, 3, 22
0, 2025, 32.160767, 8.828156, 10.259445, 4, 24
1, 2025, 40.420525, 11.377106, 17.613213, 5, 26
2, 2025, 52.448326, 13.637474, 14.545409, 6, 28
3, 2025, 60.298138, 13.834522, 8.513664, 7, 30
4, 2025, 75.452675, 12.055277, 1.413704, 8, 32
5, 2025, 87.711441, 10.189489, 0.000000, 7, 30
6, 2025, 86.407211, 3.857730, 0.000000, 6, 28
7, 2025, 84.011597, 1.288372, 0.000000, 5, 26
8, 2025, 61.317478, 1.283193, 0.000000, 4, 24
9, 2025, 58.131420, 1.021865, 0.000000, 3, 22
10, 2025, 42.728619, 3.615301, 3.909843, 2, 20
11, 2025, 47.856850, 3.839897, 5.738681, 3, 22
