Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 219.412761, 212.292318, 88.048098, 85.410062
2048, 1230.760720, 882.667650, 486.576851, 336.717450
4096, 1239.333636, 1159.896092, 487.039913, 454.854183
8192, 1272.646194, 1217.855431, 495.463818, 473.246187
16384, 1275.217697, 1252.116981, 498.236505, 489.143131
24576, 1249.225072, 1218.932650, 487.155113, 478.277491
35840, 1246.739294, 1241.375563, 486.916809, 485.357413
49152, 1246.468292, 1220.870202, 486.904271, 480.207527
65536, 1248.091151, 1226.979875, 486.800484, 481.410014
102400, 1248.613214, 1230.783914, 486.884091, 482.682766
204800, 1273.948868, 1242.667891, 497.966060, 485.979319
307200, 1274.498399, 1228.899200, 497.912397, 480.926680
409600, 1274.249917, 1238.914352, 497.894641, 488.814385
512000, 1273.033308, 1238.196461, 497.868982, 486.549792
614400, 1271.823203, 1229.147745, 497.652269, 485.134646
716800, 1263.887732, 1221.161550, 496.556041, 485.834121
819200, 1247.248008, 1203.178703, 494.887710, 485.525123
1048576, 1223.975329, 1166.779174, 491.328921, 479.428611
2097152, 1173.541110, 1150.069536, 480.283360, 474.158972
4194304, 1161.437855, 1137.996203, 480.176743, 473.216544
6291456, 1160.174538, 1139.586300, 480.093439, 473.599789
8388608, 1158.893380, 1140.081869, 478.658065, 473.709624
