Array Size, SSE Max Performance, SSE Avg Performance, Loop Max Performance, Loop Avg Performance
1024, 219.271919, 211.798883, 87.987546, 84.668056
2048, 1226.342242, 416.664589, 485.998841, 166.598563
4096, 1239.715728, 1233.935420, 487.039913, 485.824374
8192, 1245.172489, 1222.908314, 486.692113, 483.279448
16384, 1248.782614, 1219.965924, 487.125886, 483.769480
24576, 1249.796389, 1237.059357, 487.319579, 485.680397
35840, 1247.867472, 1241.643553, 486.989595, 485.254288
49152, 1247.291284, 1237.681055, 486.952284, 484.356864
65536, 1249.709225, 1241.608367, 486.854687, 483.913016
102400, 1247.502454, 1179.435260, 486.745270, 463.042222
204800, 1274.503786, 1212.257827, 497.941852, 475.453326
307200, 1246.313168, 1212.875676, 486.907224, 477.703210
409600, 1274.543375, 1225.955774, 497.975152, 484.536496
512000, 1272.628288, 1193.909336, 497.672504, 478.673381
614400, 1269.927880, 1220.258246, 496.939820, 485.610324
716800, 1264.396040, 1217.871028, 496.274824, 486.076436
819200, 1246.769690, 1201.029289, 494.057074, 482.561201
1048576, 1210.948409, 1169.115108, 490.299690, 480.403985
2097152, 1172.596225, 1151.607422, 480.223969, 473.645637
4194304, 1161.748292, 1142.761500, 478.468536, 473.597261
6291456, 1164.128994, 1145.863989, 480.083913, 474.119736
8388608, 1160.250393, 1139.855617, 479.343496, 473.726054
