Block Size, Number of Trials, Max Performance, Avg Performance
16, 16384, 1454.545410, 990.492920
16, 32768, 1340.314087, 1036.898926
16, 65536, 1536.384033, 1224.170654
16, 131072, 1697.472046, 1288.916138
16, 262144, 1724.268555, 1329.783081
16, 524288, 1959.574341, 1591.902344
16, 1048576, 1903.677490, 1856.266235
32, 16384, 2285.714355, 1409.960449
32, 32768, 1996.101318, 1442.673096
32, 65536, 2585.858643, 1599.240845
32, 131072, 2682.383789, 2042.636841
32, 262144, 3112.461914, 2365.686523
32, 524288, 3493.390381, 2589.633545
32, 1048576, 3239.545166, 3148.926514
64, 16384, 2000.000000, 1215.757324
64, 32768, 1906.890137, 1418.846924
64, 65536, 2314.124268, 1570.600830
64, 131072, 2620.601318, 1854.422241
64, 262144, 3196.254395, 2161.754883
64, 524288, 3472.657959, 2630.316162
64, 1048576, 3248.215576, 3141.851562
128, 16384, 2000.000000, 1340.355835
128, 32768, 1868.613159, 1404.637817
128, 65536, 2354.022949, 1676.780273
128, 131072, 2974.582520, 2063.990723
128, 262144, 2943.585938, 1940.804199
128, 524288, 3305.225098, 2548.359619
128, 1048576, 3157.752686, 3100.871338
